
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:64450       116.11.3.172:47622     TIME_WAIT       0
  TCP    26.26.26.1:64452       219.139.77.136:53927   TIME_WAIT       0
  TCP    26.26.26.1:64455       14.218.11.60:12361     TIME_WAIT       0
  TCP    26.26.26.1:64457       113.90.80.45:50291     TIME_WAIT       0
  TCP    26.26.26.1:64459       183.47.30.163:3234     TIME_WAIT       0
  TCP    26.26.26.1:64466       182.47.131.246:31888   TIME_WAIT       0
  TCP    26.26.26.1:64468       123.178.19.250:44047   TIME_WAIT       0
  TCP    26.26.26.1:64474       182.100.11.90:10811    TIME_WAIT       0
  TCP    26.26.26.1:64482       112.39.85.167:13390    TIME_WAIT       0
  TCP    26.26.26.1:64494       139.189.115.126:5446   TIME_WAIT       0
  TCP    26.26.26.1:64505       119.145.208.243:3309   TIME_WAIT       0
  TCP    26.26.26.1:64509       222.168.231.50:45599   TIME_WAIT       0
  TCP    26.26.26.1:64512       117.148.78.71:4678     TIME_WAIT       0
  TCP    26.26.26.1:64514       218.95.60.171:48520    TIME_WAIT       0
  TCP    26.26.26.1:64521       59.37.162.192:27585    TIME_WAIT       0
  TCP    26.26.26.1:64529       61.165.100.235:36593   TIME_WAIT       0
  TCP    26.26.26.1:64531       125.75.126.222:59642   TIME_WAIT       0
  TCP    26.26.26.1:64534       113.90.157.134:42502   TIME_WAIT       0
  TCP    26.26.26.1:64538       223.11.136.111:51110   TIME_WAIT       0
  TCP    26.26.26.1:64540       223.198.127.141:32750  TIME_WAIT       0
  TCP    26.26.26.1:64543       115.238.219.99:443     ESTABLISHED     24744
  TCP    26.26.26.1:64549       171.107.35.187:13494   TIME_WAIT       0
  TCP    26.26.26.1:64552       221.226.74.42:30616    TIME_WAIT       0
  TCP    26.26.26.1:64554       116.11.3.172:47622     TIME_WAIT       0
  TCP    26.26.26.1:64556       110.187.118.9:42178    TIME_WAIT       0
  TCP    26.26.26.1:64558       219.139.77.136:53927   TIME_WAIT       0
  TCP    26.26.26.1:64560       14.218.11.60:12361     TIME_WAIT       0
  TCP    26.26.26.1:64562       113.90.80.45:50291     TIME_WAIT       0
  TCP    26.26.26.1:64564       183.47.30.163:3234     TIME_WAIT       0
  TCP    26.26.26.1:64571       182.84.152.135:54912   TIME_WAIT       0
  TCP    26.26.26.1:64572       111.75.185.27:53602    TIME_WAIT       0
  TCP    26.26.26.1:64577       122.238.17.200:59120   TIME_WAIT       0
  TCP    26.26.26.1:64579       59.173.122.160:50323   TIME_WAIT       0
  TCP    26.26.26.1:64580       114.221.115.232:20047  TIME_WAIT       0
  TCP    26.26.26.1:64583       121.237.35.99:48607    TIME_WAIT       0
  TCP    26.26.26.1:64585       122.236.91.188:55496   TIME_WAIT       0
  TCP    26.26.26.1:64587       125.114.124.246:35646  TIME_WAIT       0
  TCP    26.26.26.1:64592       182.98.61.153:11414    TIME_WAIT       0
  TCP    26.26.26.1:64595       115.230.233.127:47379  TIME_WAIT       0
