
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:63148       61.184.21.163:45357    TIME_WAIT       0
  TCP    26.26.26.1:63150       182.200.199.207:36032  TIME_WAIT       0
  TCP    26.26.26.1:63152       114.235.16.99:31242    TIME_WAIT       0
  TCP    26.26.26.1:63154       219.150.235.166:23472  TIME_WAIT       0
  TCP    26.26.26.1:63156       222.216.37.124:57725   TIME_WAIT       0
  TCP    26.26.26.1:63158       113.90.157.134:42502   TIME_WAIT       0
  TCP    26.26.26.1:63160       183.7.149.135:59661    TIME_WAIT       0
  TCP    26.26.26.1:63161       113.140.81.214:40577   TIME_WAIT       0
  TCP    26.26.26.1:63164       222.168.231.50:45599   TIME_WAIT       0
  TCP    26.26.26.1:63166       125.75.126.222:59642   TIME_WAIT       0
  TCP    26.26.26.1:63168       183.47.30.163:3234     TIME_WAIT       0
  TCP    26.26.26.1:63172       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63174       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63175       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63178       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63179       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63186       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63187       223.101.42.19:11063    TIME_WAIT       0
  TCP    26.26.26.1:63190       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63192       61.165.100.235:36593   TIME_WAIT       0
  TCP    26.26.26.1:63193       49.86.8.29:44361       TIME_WAIT       0
  TCP    26.26.26.1:63198       111.25.39.53:27403     TIME_WAIT       0
  TCP    26.26.26.1:63199       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63202       117.22.168.144:1198    TIME_WAIT       0
  TCP    26.26.26.1:63204       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63205       112.41.9.184:11508     TIME_WAIT       0
  TCP    26.26.26.1:63206       222.169.222.194:32378  TIME_WAIT       0
  TCP    26.26.26.1:63207       180.136.164.178:43259  ESTABLISHED     8308
  TCP    26.26.26.1:63208       119.41.18.63:42982     ESTABLISHED     8308
  TCP    26.26.26.1:63209       123.172.144.202:61441  TIME_WAIT       0
  TCP    26.26.26.1:63210       219.131.174.187:20914  TIME_WAIT       0
  TCP    26.26.26.1:63218       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63219       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63222       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63223       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63227       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63230       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63234       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63238       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63239       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63240       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63241       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63242       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63249       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63255       111.25.39.53:27403     TIME_WAIT       0
  TCP    26.26.26.1:63260       220.182.9.86:56739     ESTABLISHED     8308
  TCP    26.26.26.1:63263       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63266       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63267       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63272       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63275       112.41.9.184:11508     TIME_WAIT       0
  TCP    26.26.26.1:63278       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63282       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63283       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63284       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63285       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63286       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63293       124.114.73.51:22098    TIME_WAIT       0
  TCP    26.26.26.1:63294       121.204.90.19:56769    TIME_WAIT       0
  TCP    26.26.26.1:63297       119.145.208.243:3309   TIME_WAIT       0
  TCP    26.26.26.1:63303       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63305       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63309       219.131.174.187:20914  TIME_WAIT       0
  TCP    26.26.26.1:63311       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63312       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63313       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63319       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63321       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63322       111.25.39.53:27403     TIME_WAIT       0
  TCP    26.26.26.1:63323       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63328       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63330       112.41.9.184:11508     TIME_WAIT       0
  TCP    26.26.26.1:63331       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63332       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63337       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63338       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63341       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63343       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63344       223.101.42.19:11063    TIME_WAIT       0
  TCP    26.26.26.1:63345       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63349       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63351       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63352       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63357       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63358       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63361       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63364       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63365       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63366       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63367       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63368       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63375       171.222.246.84:8915    TIME_WAIT       0
  TCP    26.26.26.1:63378       111.25.39.53:27403     TIME_WAIT       0
