
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:51925       222.180.243.50:47663   ESTABLISHED     8308
  TCP    26.26.26.1:51926       61.184.21.163:45357    ESTABLISHED     8308
  TCP    26.26.26.1:51929       121.228.177.115:443    TIME_WAIT       0
  TCP    26.26.26.1:51931       59.47.52.210:42806     TIME_WAIT       0
  TCP    26.26.26.1:51932       113.12.44.208:49731    TIME_WAIT       0
  TCP    26.26.26.1:51935       121.228.176.155:443    TIME_WAIT       0
  TCP    26.26.26.1:51938       116.253.246.53:19390   ESTABLISHED     8308
  TCP    26.26.26.1:51940       122.228.195.23:443     ESTABLISHED     35972
  TCP    26.26.26.1:51942       52.167.17.97:443       TIME_WAIT       0
  TCP    26.26.26.1:51948       175.31.15.20:24327     ESTABLISHED     8308
  TCP    26.26.26.1:51951       117.63.251.248:57809   ESTABLISHED     8308
  TCP    26.26.26.1:51953       123.151.207.13:32012   ESTABLISHED     8308
  TCP    26.26.26.1:51956       112.41.41.211:5092     TIME_WAIT       0
  TCP    26.26.26.1:51959       112.41.30.103:14616    TIME_WAIT       0
  TCP    26.26.26.1:51960       113.12.44.208:49731    TIME_WAIT       0
  TCP    26.26.26.1:51967       59.47.52.210:42806     ESTABLISHED     8308
  TCP    26.26.26.1:51974       113.12.44.208:49731    TIME_WAIT       0
  TCP    26.26.26.1:51975       112.41.30.103:14616    TIME_WAIT       0
  TCP    26.26.26.1:51978       121.228.177.115:443    CLOSING         8308
  TCP    26.26.26.1:51981       222.209.90.217:40731   ESTABLISHED     8308
  TCP    26.26.26.1:51983       220.168.156.85:51467   ESTABLISHED     8308
  TCP    26.26.26.1:51985       36.49.77.217:26089     TIME_WAIT       0
  TCP    26.26.26.1:51986       112.41.41.211:5092     TIME_WAIT       0
  TCP    26.26.26.1:51989       115.238.219.101:443    ESTABLISHED     24744
  TCP    26.26.26.1:51991       222.169.222.194:32378  ESTABLISHED     8308
  TCP    26.26.26.1:51993       180.141.240.85:18184   ESTABLISHED     8308
  TCP    26.26.26.1:51996       119.41.18.63:42982     ESTABLISHED     8308
  TCP    26.26.26.1:51998       143.92.32.224:80       ESTABLISHED     14148
  TCP    26.26.26.1:52000       113.12.44.208:49731    ESTABLISHED     8308
  TCP    26.26.26.1:52001       112.41.41.211:5092     ESTABLISHED     8308
  TCP    26.26.26.1:52006       36.49.77.217:26089     TIME_WAIT       0
  TCP    26.26.26.1:52009       61.128.27.134:18600    ESTABLISHED     8308
  TCP    26.26.26.1:52014       49.86.8.29:44361       ESTABLISHED     8308
  TCP    26.26.26.1:52015       61.165.100.235:36593   ESTABLISHED     8308
  TCP    26.26.26.1:52016       113.241.156.50:10806   TIME_WAIT       0
  TCP    26.26.26.1:52017       222.241.248.19:13653   TIME_WAIT       0
  TCP    26.26.26.1:52018       180.140.118.68:38045   TIME_WAIT       0
  TCP    26.26.26.1:52019       113.90.157.134:42502   ESTABLISHED     8308
  TCP    26.26.26.1:52020       180.137.241.250:21069  TIME_WAIT       0
  TCP    26.26.26.1:52021       223.198.127.141:32750  ESTABLISHED     8308
